timestamp,can_id,dlc,data_hex
1772290182.6868525,MARK_START:1_Replay_Attack_2026-02-28_234942,0,
1772290182.6948354,0x100,8,0102030405060708
1772290182.7053723,0x100,8,0102030405060708
1772290182.7158167,0x100,8,0102030405060708
1772290182.72625,0x100,8,0102030405060708
1772290182.736459,0x100,8,0102030405060708
1772290182.7471085,0x100,8,0102030405060708
1772290182.7576435,0x100,8,0102030405060708
1772290182.7679057,0x100,8,0102030405060708
1772290182.7780802,0x100,8,0102030405060708
1772290182.788453,0x100,8,0102030405060708
1772290182.7987375,0x100,8,0102030405060708
1772290182.8091545,0x100,8,0102030405060708
1772290182.819562,0x100,8,0102030405060708
1772290182.8300455,0x100,8,0102030405060708
1772290182.8404465,0x100,8,0102030405060708
1772290182.8507967,0x100,8,0102030405060708
1772290182.8610315,0x100,8,0102030405060708
1772290182.8714712,0x100,8,0102030405060708
1772290182.8819098,0x100,8,0102030405060708
1772290182.892192,0x100,8,0102030405060708
1772290182.902615,0x100,8,0102030405060708
1772290182.9129052,0x100,8,0102030405060708
1772290182.9234424,0x100,8,0102030405060708
1772290182.9338179,0x100,8,0102030405060708
1772290182.9442604,0x100,8,0102030405060708
1772290182.954848,0x100,8,0102030405060708
1772290182.96543,0x100,8,0102030405060708
1772290182.9757972,0x100,8,0102030405060708
1772290182.9862356,0x100,8,0102030405060708
1772290182.9965432,0x100,8,0102030405060708
1772290183.0068355,0x100,8,0102030405060708
1772290183.017483,0x100,8,0102030405060708
1772290183.0277846,0x100,8,0102030405060708
1772290183.0380206,0x100,8,0102030405060708
1772290183.0485995,0x100,8,0102030405060708
1772290183.0588248,0x100,8,0102030405060708
1772290183.0692568,0x100,8,0102030405060708
1772290183.079642,0x100,8,0102030405060708
1772290183.0901325,0x100,8,0102030405060708
1772290183.100296,0x100,8,0102030405060708
1772290183.1105695,0x100,8,0102030405060708
1772290183.1209698,0x100,8,0102030405060708
1772290183.1314,0x100,8,0102030405060708
1772290183.1422698,0x100,8,0102030405060708
1772290183.1525805,0x100,8,0102030405060708
1772290183.162954,0x100,8,0102030405060708
1772290183.173599,0x100,8,0102030405060708
1772290183.1839755,0x100,8,0102030405060708
1772290183.1944745,0x100,8,0102030405060708
1772290183.2049005,0x100,8,0102030405060708
1772290183.2154527,0x100,8,0102030405060708
1772290183.2260082,0x100,8,0102030405060708
1772290183.2365127,0x100,8,0102030405060708
1772290183.247087,0x100,8,0102030405060708
1772290183.257281,0x100,8,0102030405060708
1772290183.2593832,MARK_END:1_Replay_Attack_2026-02-28_234942,0,
