timestamp,can_id,dlc,data_hex
1773760816.4934237,MARK_START:2_Injection_Attack_2026-03-18_002016,0,
1773760816.5181427,0x100,8,7B33834F7A5E25B9
1773760816.5414255,0x200,8,FFFFFFFFFFFFFFFF
1773760816.5919976,0x200,8,FFFFFFFFFFFFFFFF
1773760816.618441,0x100,8,B309B014C1EA4885
1773760816.642501,0x200,8,FFFFFFFFFFFFFFFF
1773760816.6930861,0x200,8,FFFFFFFFFFFFFFFF
1773760816.718753,0x100,8,662F80EAF58BECF2
1773760816.7437627,0x200,8,FFFFFFFFFFFFFFFF
1773760816.7943177,0x200,8,FFFFFFFFFFFFFFFF
1773760816.8191597,0x100,8,132D966F91626663
1773760816.8445833,0x200,8,FFFFFFFFFFFFFFFF
1773760816.894863,0x200,8,FFFFFFFFFFFFFFFF
1773760816.9195285,0x100,8,D7D69BA8056555A4
1773760816.9455018,0x200,8,FFFFFFFFFFFFFFFF
1773760816.9960225,0x200,8,FFFFFFFFFFFFFFFF
1773760817.0198703,0x100,8,177CE77C90CE1F5E
1773760817.0462856,0x200,8,FFFFFFFFFFFFFFFF
1773760817.0967422,0x200,8,FFFFFFFFFFFFFFFF
1773760817.1202042,0x100,8,15ED0E285912F8FF
1773760817.1470678,0x200,8,FFFFFFFFFFFFFFFF
1773760817.1977587,0x200,8,FFFFFFFFFFFFFFFF
1773760817.2206812,0x100,8,B0B849514ACB130E
1773760817.248326,0x200,8,FFFFFFFFFFFFFFFF
1773760817.2991393,0x200,8,FFFFFFFFFFFFFFFF
1773760817.32098,0x100,8,F847C0109A55305C
1773760817.3492877,0x200,8,FFFFFFFFFFFFFFFF
1773760817.399694,0x200,8,FFFFFFFFFFFFFFFF
1773760817.421488,0x100,8,3389C89762F8172C
1773760817.4499564,0x200,8,FFFFFFFFFFFFFFFF
1773760817.5002532,0x200,8,FFFFFFFFFFFFFFFF
1773760817.5217783,0x100,8,B1842FB53E47C75B
1773760817.5508556,0x200,8,FFFFFFFFFFFFFFFF
1773760817.6014986,0x200,8,FFFFFFFFFFFFFFFF
1773760817.6221774,0x100,8,43F4E210C7F45275
